Temps(s); Volant avec vibr ;; Volant sans vibr 
0,245;3,89;;3,85
0,246;3,89;;3,85
0,247;3,9;;3,89
0,248;3,93;;3,89
0,249;3,93;;3,89
0,25;3,92;;3,89
0,251;3,93;;3,89
0,252;3,93;;3,93
0,253;3,93;;3,89
0,254;3,93;;3,93
0,255;3,96;;3,91
0,256;3,93;;3,93
0,257;3,93;;3,93
0,258;3,95;;3,94
0,259;3,95;;3,93
0,26;3,97;;3,93
0,261;3,97;;3,93
0,262;3,97;;3,93
0,263;3,97;;3,93
0,264;3,97;;3,93
0,265;3,97;;3,93
0,266;3,97;;3,93
0,267;3,97;;3,93
0,268;3,95;;3,93
0,269;3,95;;3,93
0,27;3,97;;3,93
0,271;3,97;;3,93
0,272;3,94;;3,93
0,273;3,97;;3,96
0,274;3,97;;3,93
0,275;3,94;;3,93
0,276;3,97;;3,93
0,277;3,94;;3,93
0,278;3,95;;3,94
0,279;3,93;;3,93
0,28;3,93;;3,93
0,281;3,93;;3,93
0,282;3,97;;3,93
0,283;3,93;;3,93
0,284;3,93;;3,93
0,285;3,93;;3,93
0,286;3,93;;3,93
0,287;3,93;;3,93
0,288;3,93;;3,93
0,289;3,93;;3,93
0,29;3,93;;3,91
0,291;3,93;;3,93
0,292;3,9;;3,89
0,293;3,93;;3,93
0,294;3,91;;3,93
0,295;3,9;;3,91
0,296;3,89;;3,89
0,297;3,89;;3,89
0,298;3,89;;3,89
0,299;3,87;;3,89
0,3;3,89;;3,87
0,301;3,85;;3,89
0,302;3,85;;3,89
0,303;3,85;;3,89
0,304;3,85;;3,85
0,305;3,85;;3,85
0,306;3,85;;3,85
0,307;3,85;;3,85
0,308;3,85;;3,85
0,309;3,82;;3,85
0,31;3,81;;3,82
0,311;3,81;;3,81
0,312;3,82;;3,81
0,313;3,81;;3,81
0,314;3,79;;3,81
0,315;3,8;;3,81
0,316;3,81;;3,78
0,317;3,77;;3,81
0,318;3,77;;3,77
0,319;3,77;;3,77
0,32;3,76;;3,77
0,321;3,77;;3,74
0,322;3,74;;3,73
0,323;3,73;;3,76
0,324;3,73;;3,73
0,325;3,73;;3,73
0,326;3,69;;3,73
0,327;3,69;;3,73
0,328;3,69;;3,7
0,329;3,69;;3,7
0,33;3,69;;3,69
0,331;3,69;;3,69
0,332;3,68;;3,69
0,333;3,65;;3,66
0,334;3,65;;3,66
0,335;3,65;;3,65
0,336;3,65;;3,65
0,337;3,64;;3,61
0,338;3,61;;3,65
0,339;3,61;;3,61
0,34;3,58;;3,61
0,341;3,57;;3,61
0,342;3,57;;3,61
0,343;3,57;;3,57
0,344;3,53;;3,57
0,345;3,53;;3,57
0,346;3,53;;3,54
0,347;3,5;;3,57
0,348;3,51;;3,56
0,349;3,49;;3,51
