Temps(s); Volant avec vibr ;; Volant sans vibr 
1,071;2,32;;2,31
1,072;2,32;;2,32
1,073;2,32;;2,32
1,074;2,32;;2,31
1,075;2,32;;2,3
1,076;2,32;;2,31
1,077;2,32;;2,32
1,078;2,31;;2,32
1,079;2,32;;2,3
1,08;2,32;;2,31
1,081;2,28;;2,32
1,082;2,29;;2,28
1,083;2,3;;2,31
1,084;2,28;;2,3
1,085;2,31;;2,32
1,086;2,28;;2,31
1,087;2,31;;2,32
1,088;2,28;;2,32
1,089;2,28;;2,32
1,09;2,31;;2,32
1,091;2,28;;2,28
1,092;2,28;;2,28
1,093;2,28;;2,32
1,094;2,31;;2,28
1,095;2,31;;2,31
1,096;2,28;;2,31
1,097;2,31;;2,28
1,098;2,28;;2,32
1,099;2,31;;2,31
1,1;2,32;;2,32
1,101;2,28;;2,32
1,102;2,28;;2,32
1,103;2,3;;2,32
1,104;2,28;;2,32
1,105;2,29;;2,3
1,106;2,32;;2,32
1,107;2,31;;2,32
1,108;2,3;;2,32
1,109;2,31;;2,32
1,11;2,32;;2,31
1,111;2,28;;2,32
1,112;2,32;;2,32
1,113;2,32;;2,32
1,114;2,3;;2,32
1,115;2,32;;2,32
1,116;2,32;;2,32
1,117;2,31;;2,32
1,118;2,32;;2,32
1,119;2,31;;2,32
1,12;2,32;;2,32
1,121;2,32;;2,32
1,122;2,33;;2,32
1,123;2,3;;2,32
1,124;2,32;;2,35
1,125;2,32;;2,32
1,126;2,32;;2,35
1,127;2,32;;2,32
1,128;2,32;;2,32
1,129;2,32;;2,32
1,13;2,32;;2,32
1,131;2,32;;2,33
1,132;2,32;;2,32
1,133;2,32;;2,35
1,134;2,32;;2,34
1,135;2,32;;2,32
1,136;2,32;;2,32
1,137;2,35;;2,32
1,138;2,35;;2,32
1,139;2,35;;2,32
1,14;2,32;;2,32
1,141;2,32;;2,35
1,142;2,33;;2,36
1,143;2,34;;2,32
1,144;2,32;;2,35
1,145;2,33;;2,32
1,146;2,32;;2,33
1,147;2,33;;2,32
1,148;2,32;;2,35
1,149;2,34;;2,32
1,15;2,32;;2,32
1,151;2,32;;2,32
1,152;2,33;;2,32
1,153;2,34;;2,32
1,154;2,34;;2,32
1,155;2,33;;2,35
1,156;2,36;;2,32
1,157;2,32;;2,36
1,158;2,36;;2,32
1,159;2,35;;2,34
1,16;2,32;;2,32
1,161;2,36;;2,32
1,162;2,35;;2,32
1,163;2,32;;2,32
1,164;2,35;;2,32
1,165;2,32;;2,32
1,166;2,36;;2,32
1,167;2,35;;2,32
1,168;2,32;;2,32
1,169;2,36;;2,32
1,17;2,32;;2,35
1,171;2,32;;2,32
1,172;2,32;;2,32
1,173;2,34;;2,32
1,174;2,32;;2,32
1,175;2,36;;2,32
1,176;2,32;;2,35
1,177;2,32;;2,32
1,178;2,32;;2,32
1,179;2,32;;2,32
1,18;2,35;;2,32
1,181;2,32;;2,32
1,182;2,32;;2,32
1,183;2,32;;2,32
1,184;2,32;;2,32
1,185;2,32;;2,32
1,186;2,32;;2,32
1,187;2,36;;2,32
1,188;2,32;;2,32
1,189;2,32;;2,32
1,19;2,32;;2,32
1,191;2,32;;2,32
1,192;2,32;;2,32
1,193;2,32;;2,32
1,194;2,32;;2,32
1,195;2,32;;2,32
1,196;2,32;;2,32
1,197;2,32;;2,32
1,198;2,32;;2,32
1,199;2,32;;2,32
1,2;2,32;;2,32
1,201;2,32;;2,35
1,202;2,35;;2,32
1,203;2,32;;2,35
1,204;2,32;;2,32
1,205;2,32;;2,32
1,206;2,32;;2,32
1,207;2,32;;2,32
1,208;2,32;;2,32
1,209;2,35;;2,32
1,21;2,32;;2,32
1,211;2,32;;2,32
1,212;2,32;;2,32
1,213;2,32;;2,32
1,214;2,32;;2,32
1,215;2,32;;2,32
1,216;2,32;;2,35
1,217;2,32;;2,32
1,218;2,32;;2,32
1,219;2,32;;2,32
1,22;2,32;;2,32
1,221;2,32;;2,32
1,222;2,32;;2,32
1,223;2,32;;2,32
1,224;2,32;;2,32
1,225;2,35;;2,32
1,226;2,32;;2,32
1,227;2,33;;2,32
1,228;2,34;;2,32
1,229;2,32;;2,32
1,23;2,32;;2,32
1,231;2,32;;2,32
1,232;2,32;;2,32
1,233;2,32;;2,32
1,234;2,32;;2,32
1,235;2,32;;2,32
1,236;2,32;;2,32
1,237;2,32;;2,32
1,238;2,32;;2,32
1,239;2,32;;2,32
1,24;2,32;;2,32
